Name,ID,Definition,Trigger
Oven1_RackInput,1000,Oven1_RackInput,
Oven1_LotAdded,1001,Oven1_LotAdded,
Oven1_LotRemoved,1002,Oven1_LotRemoved,
Oven1_ProcessStarted,1003,Oven1_ProcessStarted,
Oven1_ProcessComplete,1004,Oven1_ProcessComplete,
Oven1_ProcessStopped,1005,Oven1_ProcessStopped,
Oven1_RecipeChanged,1009,Oven1_RecipeChanged,
Oven1_OnlineStatusChanged,1011,Oven1_OnlineStatusChanged,
Oven1_EqpStatusChanged,1012,Oven1_EqpStatusChanged,
Oven1_RackOutput,1013,Oven1_RackOutput,
Oven2_RackInput,2000,Oven2_RackInput,
Oven2_LotAdded,2001,Oven2_LotAdded,
Oven2_LotRemoved,2002,Oven2_LotRemoved,
Oven2_ProcessStarted,2003,Oven2_ProcessStarted,
Oven2_ProcessComplete,2004,Oven2_ProcessComplete,
Oven2_ProcessStopped,2005,Oven2_ProcessStopped,
Oven2_RecipeChanged,2009,Oven2_RecipeChanged,
Oven2_OnlineStatusChanged,2011,Oven2_OnlineStatusChanged,
Oven2_EqpStatusChanged,2012,Oven2_EqpStatusChanged,
Oven2_RackOutput,2013,Oven2_RackOutput,
